Date and Time:,2015-05-09 22:06:55.482
Player:,ADam
 
Optimal Path,Actual Path
400.0,429.5
523.0,429.5
495.0,429.5
532.0,429.5
490.0,429.5
476.0,429.5
493.0,459.5
530.0,519.5
487.0,471.5
393.0,409.5
312.0,349.5
283.0,287.5
327.0,311.5
424.0,375.5
642.0,435.5
716.0,497.5
599.0,525.5
386.0,463.5
316.0,405.5
295.0,343.5
338.0,289.5
430.0,349.5
590.0,411.5
632.0,471.5
532.0,481.5
379.0,419.5
316.0,359.5
302.0,385.5
347.0,351.5
434.0,391.5
528.0,435.5
